date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 0:00,18,6,0,8.7,4,97,4:52 PM,6:22 AM,7:00 AM,4:51 PM,-10,8,8,8,8,0,25,0,1021,8,10,21,4,california
2018-01-01 12:00,18,6,0,8.7,4,97,4:52 PM,6:22 AM,7:00 AM,4:51 PM,-9,18,18,18,12,3,14,0,1021,18,10,79,10,california
2018-01-02 0:00,19,8,0,8.7,4,100,5:58 PM,7:26 AM,7:01 AM,4:52 PM,-8,9,10,9,14,20,27,0,1022,10,10,19,7,california
2018-01-02 12:00,19,8,0,8.7,4,100,5:58 PM,7:26 AM,7:01 AM,4:52 PM,-7,19,19,19,18,19,17,0,1020,19,10,57,16,california
2018-01-03 0:00,18,8,0,8.7,4,89,7:07 PM,8:22 AM,7:01 AM,4:53 PM,-5,10,11,10,19,8,31,0,1020,11,10,16,9,california
2018-01-03 12:00,18,8,0,8.7,4,89,7:07 PM,8:22 AM,7:01 AM,4:53 PM,-6,18,18,18,12,45,20,0,1018,18,10,46,11,california
2018-01-04 0:00,20,6,0,8.7,4,81,8:16 PM,9:12 AM,7:01 AM,4:53 PM,-7,7,7,7,6,11,36,0,1020,7,10,318,3,california
2018-01-04 12:00,20,6,0,8.7,4,81,8:16 PM,9:12 AM,7:01 AM,4:53 PM,5,20,20,20,18,10,37,0,1019,20,10,225,16,california
2018-01-05 0:00,20,8,0,7,5,74,9:23 PM,9:55 AM,7:01 AM,4:54 PM,9,10,12,10,26,8,83,0,1022,12,10,255,13,california
2018-01-05 12:00,20,8,0,7,5,74,9:23 PM,9:55 AM,7:01 AM,4:54 PM,4,20,20,20,11,13,34,0,1021,20,10,217,10,california
2018-01-06 0:00,19,11,0,8.7,5,67,10:26 PM,10:33 AM,7:01 AM,4:55 PM,6,13,13,13,12,60,63,0,1021,13,10,263,6,california
2018-01-06 12:00,19,11,0,8.7,5,67,10:26 PM,10:33 AM,7:01 AM,4:55 PM,7,19,19,19,29,20,44,0,1018,19,10,258,25,california
2018-01-07 0:00,15,6,0,8.7,4,59,11:28 PM,11:08 AM,7:01 AM,4:56 PM,7,9,10,9,17,5,80,0,1020,10,10,328,8,california
2018-01-07 12:00,15,6,0,8.7,4,59,11:28 PM,11:08 AM,7:01 AM,4:56 PM,4,15,15,15,8,2,47,0,1019,15,10,84,7,california
2018-01-08 0:00,12,8,0,3.6,3,52,No moonrise,11:42 AM,7:01 AM,4:57 PM,5,12,12,12,11,86,61,0,1016,12,10,27,6,california
2018-01-08 12:00,12,8,0,3.6,3,52,No moonrise,11:42 AM,7:01 AM,4:57 PM,5,10,12,10,16,100,61,0.8,1014,12,9,74,14,california
2018-01-09 0:00,11,9,0,8.7,2,45,12:26 AM,12:14 PM,7:01 AM,4:58 PM,4,7,9,7,23,100,70,1,1009,9,9,28,17,california
2018-01-09 12:00,11,9,0,8.7,2,45,12:26 AM,12:14 PM,7:01 AM,4:58 PM,3,9,10,9,11,47,62,0.1,1006,10,10,233,9,california
2018-01-10 0:00,14,7,0,8.7,4,38,1:24 AM,12:47 PM,7:01 AM,4:59 PM,4,5,8,5,23,5,76,0,1013,8,10,264,14,california
