,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference,,,,,
0,2018-01-23,1338.089966,1364.900024,1337.339966,1362.540039,5169300,0,0,1.83%,,,,,
1,2018-01-24,1374.819946,1388.160034,1338,1357.51001,6807500,0,0,-1.26%,,,,,
2,2018-01-25,1368,1378.339966,1357.619995,1377.949951,4753000,0,0,0.73%,,,,,
3,2018-01-26,1392.01001,1402.530029,1380.910034,1402.050049,4857300,0,0,0.72%,,,,,
4,2018-01-29,1409.180054,1431.390015,1400.439941,1417.680054,5701900,0,0,0.60%,,,,,
5,2018-01-30,1403.170044,1439.25,1392,1437.819946,5871900,0,0,2.47%,,,,,
6,2018-01-31,1451.300049,1472.579956,1450.040039,1450.890015,6424700,0,0,-0.03%,,,,,
7,2018-02-01,1445,1459.880005,1385.140015,1390,9113800,0,0,-3.81%,,,,,
8,2018-02-02,1477.390015,1498,1414,1429.949951,11125700,0,0,-3.21%,,,,,
9,2018-02-05,1402.619995,1458.97998,1320.719971,1390,11495000,0,0,-0.90%,,,,,
10,2018-02-06,1361.459961,1443.98999,1351.790039,1442.839966,11066800,0,0,5.98%,,,,,
11,2018-02-07,1449,1460.98999,1415.150024,1416.780029,7162700,0,0,-2.22%,,,,,
12,2018-02-08,1429.680054,1433.75,1349.939941,1350.5,8578600,0,0,-5.54%,,,,,
13,2018-02-09,1373.48999,1383.5,1265.930054,1339.599976,14141500,0,0,-2.47%,,,,,
14,2018-02-12,1364.670044,1393.810059,1344.01001,1386.22998,6738900,0,0,1.58%,,,,,
15,2018-02-13,1385.930054,1419.719971,1383.530029,1414.51001,5917900,0,0,2.06%,,,,,
16,2018-02-14,1406.25,1452.060059,1403.359985,1451.050049,5959200,0,0,3.19%,,,,,
17,2018-02-15,1466.890015,1468.939941,1436.839966,1461.76001,5652700,0,0,-0.35%,,,,,
18,2018-02-16,1457.369995,1465.800049,1446.560059,1448.689941,4472600,0,0,-0.60%,,,,,
19,2018-02-20,1446.48999,1488.77002,1446.48999,1468.349976,6499200,0,0,1.51%,,,,,
20,2018-02-21,1485,1503.48999,1478.920044,1482.920044,6304400,0,0,-0.14%,,,,,
21,2018-02-22,1495.359985,1502.540039,1475.76001,1485.339966,4858100,0,0,-0.67%,,,,,
22,2018-02-23,1495.339966,1500,1486.5,1500,4418100,0,0,0.31%,,,,,
23,2018-02-26,1509.199951,1522.839966,1507,1521.949951,4955000,0,0,0.84%,,,,,
24,2018-02-27,1524.5,1526.780029,1507.209961,1511.97998,4808800,0,0,-0.82%,,,,,
25,2018-02-28,1519.51001,1528.699951,1512,1512.449951,4515000,0,0,-0.46%,,,,,
26,2018-03-01,1513.599976,1518.48999,1465,1493.449951,6835200,0,0,-1.33%,,,,,
27,2018-03-02,1469.099976,1501.050049,1455.01001,1500.25,6587600,0,0,2.12%,,,,,
28,2018-03-05,1494.23999,1525.380005,1481,1523.609985,5233900,0,0,1.97%,,,,,
29,2018-03-06,1533.199951,1542.130005,1528,1537.640015,4561700,0,0,0.29%,,,,,
30,2018-03-07,1526.52002,1545.900024,1522.51001,1545,4174100,0,0,1.21%,,,,,
31,2018-03-08,1550,1554.880005,1545.25,1551.859985,3862600,0,0,0.12%,,,,,
32,2018-03-09,1563.5,1578.939941,1559.079956,1578.890015,4534300,0,0,0.98%,,,,,
33,2018-03-12,1592.599976,1605.329956,1586.699951,1598.390015,5174200,0,0,0.36%,,,,,
34,2018-03-13,1615.959961,1617.540039,1578.01001,1588.180054,6531900,0,0,-1.72%,,,,,
35,2018-03-14,1597,1606.439941,1590.890015,1591,4259400,0,0,-0.38%,,,,,
36,2018-03-15,1595,1596.910034,1578.109985,1582.319946,4069700,0,0,-0.79%,,,,,
37,2018-03-16,1583.449951,1589.439941,1567.5,1571.680054,5425000,0,0,-0.74%,,,,,
38,2018-03-19,1554.530029,1561.660034,1525.349976,1544.930054,6580800,0,0,-0.62%,,,,,
39,2018-03-20,1550.339966,1587,1545.410034,1586.51001,4581600,0,0,2.33%,,,,,
40,2018-03-21,1586.449951,1590,1563.170044,1581.859985,4750800,0,0,-0.29%,,,,,
41,2018-03-22,1565.469971,1573.849976,1542.400024,1544.920044,6320600,0,0,-1.31%,,,,,
42,2018-03-23,1539.01001,1549.02002,1495.359985,1495.560059,8006000,0,0,-2.82%,,,,,
43,2018-03-26,1530,1556.98999,1499.25,1555.859985,5624700,0,0,1.69%,,,,,
44,2018-03-27,1572.400024,1575.969971,1482.319946,1497.050049,6999600,0,0,-4.79%,,,,,
45,2018-03-28,1447,1455.900024,1386.170044,1431.420044,13705300,0,0,-1.08%,,,,,
46,2018-03-29,1406,1455.469971,1365.199951,1447.339966,12581100,0,0,2.94%,,,,,
47,2018-04-02,1417.619995,1421.359985,1355,1371.98999,10463600,0,0,-3.22%,,,,,
48,2018-04-03,1391.380005,1414,1355.329956,1392.050049,10231200,0,0,0.05%,,,,,
49,2018-04-04,1358.23999,1415.390015,1352.880005,1410.569946,6982300,0,0,3.85%,,,,,
50,2018-04-05,1441.98999,1459.560059,1427.069946,1451.75,6413500,0,0,0.68%,,,,,
51,2018-04-06,1429.969971,1452.5,1400.26001,1405.22998,5882300,0,0,-1.73%,,,,,
52,2018-04-09,1425.030029,1438.47998,1402.569946,1406.079956,4208200,0,0,-1.33%,,,,,
53,2018-04-10,1431.98999,1438.380005,1415.699951,1436.219971,4254100,0,0,0.30%,,,,,
54,2018-04-11,1439.439941,1448.780029,1424.890015,1427.050049,3582500,0,0,-0.86%,,,,,
55,2018-04-12,1439.5,1452.119995,1435.060059,1448.5,3135000,0,0,0.63%,,,,,
56,2018-04-13,1449.140015,1459.780029,1424.52002,1430.790039,3685300,0,0,-1.27%,,,,,
57,2018-04-16,1445,1447,1427.47998,1441.5,2808600,0,0,-0.24%,,,,,
58,2018-04-17,1462.300049,1507.189941,1457.02002,1503.829956,5114400,0,0,2.84%,,,,,
59,2018-04-18,1514.650024,1533.800049,1504.109985,1527.839966,5227500,0,0,0.87%,,,,,
60,2018-04-19,1543.219971,1568.52002,1539.060059,1556.910034,6523700,0,0,0.89%,,,,,
61,2018-04-20,1561.199951,1561.199951,1516.089966,1527.48999,5541600,0,0,-2.16%,,,,,
62,2018-04-23,1546.689941,1548,1503.410034,1517.859985,4465400,0,0,-1.86%,,,,,
63,2018-04-24,1535.800049,1539.5,1448.449951,1460.089966,7494700,0,0,-4.93%,,,,,
64,2018-04-25,1458,1469.98999,1415.02002,1460.170044,6587300,0,0,0.15%,,,,,
65,2018-04-26,1485.01001,1529.420044,1478.5,1517.959961,8801100,0,0,2.22%,,,,,
66,2018-04-27,1634.01001,1638.099976,1567.390015,1572.619995,13053200,0,0,-3.76%,,,,,
67,2018-04-30,1582.5,1596,1560.939941,1566.130005,5464100,0,0,-1.03%,,,,,
68,2018-05-01,1563.219971,1585,1552.180054,1582.26001,4572100,0,0,1.22%,,,,,
69,2018-05-02,1580.97998,1588.5,1566.359985,1569.680054,4360300,0,0,-0.71%,,,,,
