,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
0,2018-01-22,37.95000076,38.09000015,36.43999863,37.38000107,4012700,0,0,-1.50%
1,2018-01-23,36.90000153,37.29000092,35.84999847,36.63999939,3696100,0,0,-0.70%
2,2018-01-24,36,36.43999863,34.58000183,34.86999893,4772200,0,0,-3.14%
3,2018-01-25,34.43000031,34.72999954,31.09000015,31.68000031,7258700,0,0,-7.99%
4,2018-01-26,31.5,35.09999847,30.72999954,35.09000015,8208400,0,0,11.40%
5,2018-01-29,35.61999893,35.63000107,32.08000183,33.09999847,5264500,0,0,-7.07%
6,2018-01-30,31.86000061,32.75,30.34000015,30.47999954,7042200,0,0,-4.33%
7,2018-01-31,30.85000038,32.27999878,29.87999916,31.02000046,5756400,0,0,0.55%
8,2018-02-01,30.88999939,31.77000046,27,27.54999924,9444200,0,0,-10.81%
9,2018-02-02,26.70000076,26.75,23.29000092,24.11000061,12169700,0,0,-9.70%
10,2018-02-05,21.51000023,27.64999962,20.85000038,24.20999908,12608100,0,0,12.55%
11,2018-02-06,24.95999908,28.85000038,24.79999924,28.79999924,9828300,0,0,15.38%
12,2018-02-07,30.76000023,31.35000038,26.65999985,27.62000084,10058400,0,0,-10.21%
13,2018-02-08,28.06999969,28.94000053,26.30999947,27.14999962,4615700,0,0,-3.28%
14,2018-02-09,27.21999931,28.38999939,25.22999954,28.17000008,6876500,0,0,3.49%
15,2018-02-12,28.18000031,29.5,26.54999924,26.89999962,5096800,0,0,-4.54%
16,2018-02-13,27.10000038,27.46999931,26.12000084,26.71999931,2828200,0,0,-1.40%
17,2018-02-14,28.19000053,28.5,27.12000084,27.14999962,5538000,0,0,-3.69%
18,2018-02-15,27.69000053,28.18000031,27.20000076,27.98999977,2984100,0,0,1.08%
19,2018-02-16,26.90999985,28.03000069,26.43000031,26.5,3969000,0,0,-1.52%
20,2018-02-20,27.37999916,30,27.01000023,29.60000038,8067800,0,0,8.11%
21,2018-02-21,29.60000038,29.87999916,28.12000084,28.73999977,4656200,0,0,-2.91%
22,2018-02-22,28.75,29.36000061,28.26000023,28.43000031,2556500,0,0,-1.11%
23,2018-02-23,28.75,28.75,27.70999908,27.88999939,2195600,0,0,-2.99%
24,2018-02-26,28.38999939,28.38999939,27.05999947,27.28000069,2395000,0,0,-3.91%
25,2018-02-27,27.14999962,27.21999931,25.61000061,26.45000076,4513600,0,0,-2.58%
26,2018-02-28,26.14999962,27.77000046,25.68000031,27.35000038,4236300,0,0,4.59%
27,2018-03-01,27.69000053,29.96999931,26.98999977,29.95999908,6818700,0,0,8.20%
28,2018-03-02,29.28000069,29.90999985,28.62999916,28.98999977,5144600,0,0,-0.99%
29,2018-03-05,29.20000076,32.61999893,29.11000061,32.36999893,8941200,0,0,10.86%
30,2018-03-06,33.65999985,34.54999924,32.61999893,32.93000031,9396500,0,0,-2.17%
31,2018-03-07,32.38000107,33.63999939,31.19000053,31.42000008,5520700,0,0,-2.96%
32,2018-03-08,32,32.54999924,30.62999916,31.80999947,4749400,0,0,-0.59%
33,2018-03-09,32.09999847,32.31000137,30.80999947,30.95000076,4182100,0,0,-3.58%
34,2018-03-12,31.21999931,32.50999832,30.10000038,32.49000168,4936200,0,0,4.07%
35,2018-03-13,32.11999893,32.49000168,31.62000084,31.94000053,4498300,0,0,-0.56%
36,2018-03-14,31.5,31.84000015,30.92000008,31.10000038,2841000,0,0,-1.27%
37,2018-03-15,31.07999992,31.97999954,30.70000076,31.20999908,3975400,0,0,0.42%
38,2018-03-16,31.09000015,33.06000137,30.86000061,32.52000046,9814000,0,0,4.60%
39,2018-03-19,32.70000076,33.90999985,32.59000015,33.68000031,5777800,0,0,3.00%
40,2018-03-20,33.84999847,34.25,32.77000046,32.95999908,4091000,0,0,-2.63%
41,2018-03-21,32.81000137,33.68999863,32.43999863,33.11000061,2939100,0,0,0.91%
42,2018-03-22,32.79000092,32.93999863,31.34000015,31.69000053,4001600,0,0,-3.35%
43,2018-03-23,33.56000137,34.15000153,32.84999847,33.40999985,7043400,0,0,-0.45%
44,2018-03-26,34.00999832,34.5,33.34999847,34.18000031,5112400,0,0,0.50%
